ID;correct_resp;first_acc;first_resp;first_rt;trial_type;seq_code;triplet_type;epoch;pred_error;stimulation
401;3;1;3;296;R;1;T;1;0;tacs
401;2;1;2;404;P;1;H;1;0;tacs
401;1;1;1;397;R;1;L;1;0;tacs
401;3;1;3;389;P;1;H;1;0;tacs
401;4;1;4;269;R;1;L;1;1;tacs
401;4;1;4;331;P;1;H;1;0;tacs
401;2;1;2;358;R;1;L;1;0;tacs
401;1;1;1;304;P;1;H;1;0;tacs
401;3;1;3;285;R;1;H;1;0;tacs
401;2;1;2;426;P;1;H;1;0;tacs
401;2;1;2;337;R;1;L;1;0;tacs
401;3;1;3;412;P;1;H;1;0;tacs
401;4;1;4;324;R;1;L;1;1;tacs
401;4;0;3;335;P;1;H;1;0;tacs
401;4;1;4;316;R;1;R;1;0;tacs
401;1;1;1;408;P;1;H;1;1;tacs
401;1;1;1;320;R;1;H;1;0;tacs
401;2;1;2;331;P;1;H;1;0;tacs
401;4;0;2;86;R;1;L;1;0;tacs
401;3;1;3;353;P;1;H;1;0;tacs
401;4;1;4;411;R;1;T;1;1;tacs
401;4;1;4;403;P;1;H;1;0;tacs
401;1;1;1;379;R;1;H;1;1;tacs
401;1;1;1;276;P;1;H;1;0;tacs
401;1;1;1;322;R;1;R;1;0;tacs
401;2;1;2;381;P;1;H;1;0;tacs
401;4;0;3;310;R;1;L;1;1;tacs
401;3;1;3;326;P;1;H;1;0;tacs
401;4;1;4;386;R;1;T;1;1;tacs
401;4;0;3;379;P;1;H;1;0;tacs
401;1;1;1;343;R;1;H;1;1;tacs
401;1;1;1;290;P;1;H;1;0;tacs
401;2;1;2;415;R;1;H;1;1;tacs
401;2;1;2;343;P;1;H;1;0;tacs
401;1;1;1;370;R;1;L;1;0;tacs
401;3;1;3;490;P;1;H;1;0;tacs
401;4;1;4;271;R;1;L;1;1;tacs
401;4;1;4;317;P;1;H;1;0;tacs
401;4;1;4;409;R;1;R;1;0;tacs
401;1;1;1;321;P;1;H;1;1;tacs
401;1;1;1;301;R;1;H;1;0;tacs
401;2;1;2;345;P;1;H;1;0;tacs
401;3;1;3;451;R;1;L;1;1;tacs
401;3;1;3;344;P;1;H;1;0;tacs
401;3;1;3;371;R;1;R;1;0;tacs
401;4;1;4;284;P;1;H;1;0;tacs
401;2;1;2;409;R;1;L;1;0;tacs
401;1;1;1;401;P;1;H;1;0;tacs
401;1;1;1;345;R;1;L;1;0;tacs
401;2;1;2;324;P;1;H;1;0;tacs
401;4;1;4;367;R;1;L;1;0;tacs
401;3;1;3;297;P;1;H;1;0;tacs
401;3;1;3;453;R;1;L;1;0;tacs
401;4;1;4;443;P;1;H;1;0;tacs
401;2;0;1;354;R;1;L;1;1;tacs
401;1;1;1;287;P;1;H;1;0;tacs
401;1;1;1;348;R;1;L;1;0;tacs
401;2;1;2;326;P;1;H;1;0;tacs
401;4;0;3;290;R;1;L;1;1;tacs
401;3;1;3;306;P;1;H;1;0;tacs
401;1;1;1;415;R;1;H;1;0;tacs
401;4;1;4;454;P;1;H;1;0;tacs
401;4;1;4;316;R;1;L;1;0;tacs
401;1;1;1;392;P;1;H;1;1;tacs
401;1;1;1;432;R;1;H;1;0;tacs
401;2;1;2;471;P;1;H;1;0;tacs
401;1;1;1;460;R;1;T;1;0;tacs
401;3;1;3;434;P;1;H;1;0;tacs
401;2;0;1;393;R;1;H;1;0;tacs
401;4;1;4;349;P;1;H;1;0;tacs
401;2;1;2;359;R;1;T;1;0;tacs
401;1;1;1;322;P;1;H;1;0;tacs
401;1;1;1;317;R;1;L;1;0;tacs
401;2;1;2;329;P;1;H;1;1;tacs
401;2;1;2;244;R;1;H;1;0;tacs
401;3;1;3;355;P;1;H;1;0;tacs
401;4;1;4;365;R;1;L;1;1;tacs
401;4;1;4;278;P;1;H;1;0;tacs
401;1;1;1;305;R;1;H;1;0;tacs
401;2;1;2;413;P;1;H;1;0;tacs
401;4;1;4;420;R;1;L;1;0;tacs
401;3;1;3;332;P;1;H;1;0;tacs
401;4;1;4;439;R;1;T;1;1;tacs
401;4;1;4;365;P;1;H;1;0;tacs
401;2;1;2;327;R;1;L;1;0;tacs
401;1;1;1;307;P;1;H;1;0;tacs
401;3;1;3;447;R;1;H;1;0;tacs
401;2;1;2;293;P;1;H;1;0;tacs
401;4;1;4;306;R;1;H;1;0;tacs
401;3;1;3;494;P;1;H;1;0;tacs
401;1;1;1;451;R;1;H;1;0;tacs
401;4;1;4;377;P;1;H;1;0;tacs
401;1;1;1;418;R;1;T;1;1;tacs
401;1;1;1;378;P;1;H;1;0;tacs
401;4;1;4;450;R;1;L;1;0;tacs
401;2;1;2;600;P;1;H;1;0;tacs
401;2;1;2;616;R;1;L;1;0;tacs
401;3;0;4;358;P;1;H;1;0;tacs
401;1;1;1;346;R;1;L;1;0;tacs
401;4;1;4;388;P;1;H;1;0;tacs
401;4;1;4;333;R;1;L;1;0;tacs
401;1;1;1;344;P;1;H;1;0;tacs
401;4;1;4;370;R;1;T;1;0;tacs
401;2;0;1;364;P;1;H;1;0;tacs
401;3;0;2;424;R;1;L;1;0;tacs
401;3;1;3;469;P;1;H;1;0;tacs
401;2;1;2;426;R;1;L;1;0;tacs
401;4;1;4;321;P;1;H;1;0;tacs
401;1;1;1;317;R;1;L;1;1;tacs
401;1;1;1;297;P;1;H;1;0;tacs
401;1;1;1;245;R;1;R;1;0;tacs
401;2;1;2;452;P;1;H;1;0;tacs
401;3;0;2;234;R;1;L;1;0;tacs
401;3;1;3;335;P;1;H;1;0;tacs
401;3;1;3;410;R;1;R;1;0;tacs
401;4;1;4;274;P;1;H;1;0;tacs
401;2;0;1;352;R;1;L;1;1;tacs
401;1;1;1;299;P;1;H;1;0;tacs
401;4;1;4;376;R;1;L;1;0;tacs
401;2;1;2;449;P;1;H;1;0;tacs
401;4;1;4;439;R;1;T;1;0;tacs
401;3;1;3;366;P;1;H;1;0;tacs
401;4;1;4;487;R;1;T;1;1;tacs
401;4;1;4;412;P;1;H;1;0;tacs
401;2;1;2;339;R;1;L;1;0;tacs
401;1;1;1;350;P;1;H;1;0;tacs
401;1;1;1;328;R;1;L;1;0;tacs
401;2;1;2;355;P;1;H;1;0;tacs
401;4;1;4;558;R;1;L;1;0;tacs
401;3;1;3;383;P;1;H;1;0;tacs
401;1;1;1;312;R;1;H;1;0;tacs
401;4;1;4;324;P;1;H;1;0;tacs
401;3;1;3;399;R;1;L;1;0;tacs
401;1;0;2;279;P;1;H;1;0;tacs
401;1;1;1;341;R;1;L;1;0;tacs
401;2;1;2;416;P;1;H;1;0;tacs
401;4;1;4;344;R;1;L;1;0;tacs
401;3;1;3;307;P;1;H;1;0;tacs
401;3;1;3;415;R;1;L;1;0;tacs
401;4;1;4;374;P;1;H;1;0;tacs
401;1;1;1;336;R;1;L;1;1;tacs
401;1;1;1;331;P;1;H;1;0;tacs
401;3;1;3;502;R;1;L;1;0;tacs
401;2;1;2;297;P;1;H;1;0;tacs
